account,raw_name,grade,status,condition,stock,invoice_price,price_source,scan_order,scanned_at,scan_marker,scan_session_id,screen_no,screen_item_no,source_bounds,source_hash,source_text
menik,samsung GALAXY NOTE 10 PLUS 256GB,AG,,,,2790000,"IDR 2,790,000",1,2026-07-07 08:17:12,MENIK-S0001-I01-O0001,invoice-menik-20260707-081710,1,1,"[0,558][1224,1023]",fb232834550f,"samsung GALAXY NOTE 10 PLUS 256GB (AG) POOR Hp Only Stok Barang : 1 Harga Akhir IDR 2,790,000"
menik,samsung GALAXY NOTE 20 256GB,AI,,,,1550000,"IDR 1,550,000",2,2026-07-07 08:17:12,MENIK-S0001-I02-O0002,invoice-menik-20260707-081710,1,2,"[0,1083][1224,1548]",14de7139b8b4,"samsung GALAXY NOTE 20 256GB (AI) SCRAPT Hp Only Stok Barang : 1 Harga Akhir IDR 1,550,000"
menik,samsung GALAXY S21 PLUS 256GB,AI,,,,1650000,"IDR 1,650,000",3,2026-07-07 08:17:12,MENIK-S0001-I03-O0003,invoice-menik-20260707-081710,1,3,"[0,1608][1224,2073]",edd09484f598,"samsung GALAXY S21 PLUS 256GB (AI) SCRAPT Hp Only Stok Barang : 1 Harga Akhir IDR 1,650,000"
menik,samsung GALAXY S21 ULTRA 256GB,AJ,,,,1830000,"IDR 1,830,000",4,2026-07-07 08:17:12,MENIK-S0001-I04-O0004,invoice-menik-20260707-081710,1,4,"[0,2133][1224,2598]",06ceb8ff67b4,"samsung GALAXY S21 ULTRA 256GB (AJ) LOT SCRAPT Hp Only Stok Barang : 1 Harga Akhir IDR 1,830,000"
menik,samsung GALAXY S22 128GB,AG,,,,3210000,"IDR 3,210,000",5,2026-07-07 08:17:16,MENIK-S0002-I03-O0005,invoice-menik-20260707-081710,2,3,"[0,1551][1224,2016]",5cadddfffba1,"samsung GALAXY S22 128GB (AG) POOR Hp Only Stok Barang : 1 Harga Akhir IDR 3,210,000"
menik,samsung GALAXY S22 PLUS 128GB,AD,,,,3970000,"IDR 3,970,000",6,2026-07-07 08:17:16,MENIK-S0002-I04-O0006,invoice-menik-20260707-081710,2,4,"[0,2076][1224,2541]",6a815694a1f9,"samsung GALAXY S22 PLUS 128GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 3,970,000"
menik,samsung GALAXY S22 ULTRA 512GB,AF,,,,6220000,"IDR 6,220,000",7,2026-07-07 08:17:19,MENIK-S0003-I03-O0007,invoice-menik-20260707-081710,3,3,"[0,1471][1224,1936]",2b0c421f0577,"samsung GALAXY S22 ULTRA 512GB (AF) ACCEPTABLE Hp Only Stok Barang : 1 Harga Akhir IDR 6,220,000"
menik,samsung GALAXY S24 256GB,AF,,,,6430000,"IDR 6,430,000",8,2026-07-07 08:17:19,MENIK-S0003-I04-O0008,invoice-menik-20260707-081710,3,4,"[0,1996][1224,2461]",1717b7127551,"samsung GALAXY S24 256GB (AF) ACCEPTABLE Hp Only Stok Barang : 1 Harga Akhir IDR 6,430,000"
menik,samsung GALAXY S24 ULTRA 1024GB,AD,,,,12450000,"IDR 12,450,000",9,2026-07-07 08:17:19,MENIK-S0003-I05-O0009,invoice-menik-20260707-081710,3,5,"[0,2521][1224,2673]",42a09f3a26ce,"samsung GALAXY S24 ULTRA 1024GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 12,450,000"
menik,samsung GALAXY S25 PLUS 256GB,AD,,,,9510000,"IDR 9,510,000",10,2026-07-07 08:17:23,MENIK-S0004-I04-O0010,invoice-menik-20260707-081710,4,4,"[0,1936][1224,2401]",c8a1b98c5fe3,"samsung GALAXY S25 PLUS 256GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 9,510,000"
