account,raw_name,grade,status,condition,stock,invoice_price,price_source,scan_order,scanned_at,scan_marker,scan_session_id,screen_no,screen_item_no,source_bounds,source_hash,source_text
mubdi,samsung GALAXY NOTE 10 PLUS 256GB,AG,,,,2790000,"IDR 2,790,000",1,2026-07-07 08:18:46,MUBDI-S0001-I01-O0001,invoice-mubdi-20260707-081844,1,1,"[0,558][1224,1023]",fb232834550f,"samsung GALAXY NOTE 10 PLUS 256GB (AG) POOR Hp Only Stok Barang : 1 Harga Akhir IDR 2,790,000"
mubdi,samsung GALAXY NOTE 20 256GB,AG,,,,2250000,"IDR 2,250,000",2,2026-07-07 08:18:46,MUBDI-S0001-I02-O0002,invoice-mubdi-20260707-081844,1,2,"[0,1083][1224,1548]",46a79dbbe309,"samsung GALAXY NOTE 20 256GB (AG) POOR Hp Only Stok Barang : 1 Harga Akhir IDR 2,250,000"
mubdi,samsung GALAXY S22 ULTRA 256GB,AD,,,,6160000,"IDR 6,160,000",3,2026-07-07 08:18:46,MUBDI-S0001-I03-O0003,invoice-mubdi-20260707-081844,1,3,"[0,1608][1224,1972]",134dd252f300,"samsung GALAXY S22 ULTRA 256GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 6,160,000"
mubdi,samsung GALAXY S23 ULTRA 512GB,AE,,,,7980000,"IDR 7,980,000",4,2026-07-07 08:18:50,MUBDI-S0002-I02-O0004,invoice-mubdi-20260707-081844,2,2,"[0,1003][1224,1468]",39f3f5566820,"samsung GALAXY S23 ULTRA 512GB (AE) FAIR Hp Only Stok Barang : 1 Harga Akhir IDR 7,980,000"
mubdi,samsung GALAXY S23 ULTRA 256GB,AF,,,,7880000,"IDR 7,880,000",5,2026-07-07 08:18:50,MUBDI-S0002-I03-O0005,invoice-mubdi-20260707-081844,2,3,"[0,1528][1224,1972]",e89c431bb45c,"samsung GALAXY S23 ULTRA 256GB (AF) ACCEPTABLE Hp Only Stok Barang : 1 Harga Akhir IDR 7,880,000"
mubdi,samsung GALAXY S24 256GB,AD,,,,6960000,"IDR 6,960,000",6,2026-07-07 08:18:53,MUBDI-S0003-I02-O0006,invoice-mubdi-20260707-081844,3,2,"[0,943][1224,1408]",dd49b1c311c1,"samsung GALAXY S24 256GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 6,960,000"
mubdi,Image Not Found samsung GALAXY S24 FE 512GB,AD,,,,6410000,"IDR 6,410,000",7,2026-07-07 08:18:53,MUBDI-S0003-I03-O0007,invoice-mubdi-20260707-081844,3,3,"[0,1468][1224,1933]",48e954a3eedf,"Image Not Found samsung GALAXY S24 FE 512GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 6,410,000"
mubdi,samsung GALAXY Z FLIP 6 512GB,AD,,,,6830000,"IDR 6,830,000",8,2026-07-07 08:18:57,MUBDI-S0004-I02-O0008,invoice-mubdi-20260707-081844,4,2,"[0,884][1224,1349]",7f16323629a0,"samsung GALAXY Z FLIP 6 512GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 6,830,000"
mubdi,samsung GALAXY A54 5G 256GB,AE,,,,2930000,"IDR 2,930,000",9,2026-07-07 08:18:57,MUBDI-S0004-I03-O0009,invoice-mubdi-20260707-081844,4,3,"[0,1409][1224,1874]",72faa1edd48e,"samsung GALAXY A54 5G 256GB (AE) FAIR Hp Only Stok Barang : 1 Harga Akhir IDR 2,930,000"
mubdi,samsung GALAXY A55 256GB,AD,,,,3750000,"IDR 3,750,000",10,2026-07-07 08:19:00,MUBDI-S0005-I03-O0010,invoice-mubdi-20260707-081844,5,3,"[0,1507][1224,1972]",94925b95b06d,"samsung GALAXY A55 256GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 3,750,000"
