raw_name,grade,status,condition,stock,auction_price,scan_order,scanned_at,scan_marker,scan_session_id,screen_no,screen_item_no,source_bounds,source_hash,source_text
samsung GALAXY Z FOLD 6 512GB,AJ,Terdaftar,Produk Only,1,5450000,1,2026-07-07 17:48:26,S0001-I01-O0001,20260707-174824,1,1,"[0,203][1200,454]",ae9d03e44a19,"samsung GALAXY Z FOLD 6 512GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 5,450,000"
samsung GALAXY Z FOLD 7 256GB,AC,Terdaftar,Produk Only,1,16580000,2,2026-07-07 17:48:26,S0001-I02-O0002,20260707-174824,1,2,"[0,454][1200,705]",cfc8301c422b,"samsung GALAXY Z FOLD 7 256GB AC (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 16,580,000"
samsung GALAXY Z FOLD 4 512GB,AG,Terdaftar,Produk Only,1,5280000,3,2026-07-07 17:48:26,S0001-I03-O0003,20260707-174824,1,3,"[0,705][1200,957]",149c646616bc,"samsung GALAXY Z FOLD 4 512GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 5,280,000"
samsung GALAXY Z FOLD 4 256GB,AI,Terdaftar,Produk Only,1,3560000,4,2026-07-07 17:48:26,S0001-I04-O0004,20260707-174824,1,4,"[0,957][1200,1208]",e6f8be1f5f01,"samsung GALAXY Z FOLD 4 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 3,560,000"
samsung GALAXY Z FOLD 5 256GB,AG,Terdaftar,Produk Only,1,6590000,5,2026-07-07 17:48:26,S0001-I05-O0005,20260707-174824,1,5,"[0,1208][1200,1459]",bbeea372f253,"samsung GALAXY Z FOLD 5 256GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 6,590,000"
samsung GALAXY Z FLIP 6 512GB,AG,Terdaftar,Produk Only,1,5970000,6,2026-07-07 17:48:26,S0001-I06-O0006,20260707-174824,1,6,"[0,1459][1200,1710]",9bd2f8453a9b,"samsung GALAXY Z FLIP 6 512GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 5,970,000"
samsung GALAXY Z FLIP 6 256GB,AJ,Terdaftar,Produk Only,1,3220000,7,2026-07-07 17:48:26,S0001-I07-O0007,20260707-174824,1,7,"[0,1710][1200,1929]",fa9e74f6fd24,"samsung GALAXY Z FLIP 6 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 3,220,000"
samsung GALAXY Z FLIP 5 256GB,AJ,Terdaftar,Produk Only,1,1720000,8,2026-07-07 17:48:29,S0002-I04-O0008,20260707-174824,2,4,"[0,927][1200,1178]",c12a7d4e83c7,"samsung GALAXY Z FLIP 5 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,720,000"
samsung GALAXY Z FLIP 5 512GB,AJ,Terdaftar,Produk Only,1,1920000,9,2026-07-07 17:48:29,S0002-I05-O0009,20260707-174824,2,5,"[0,1178][1200,1429]",0c4cdf04d40a,"samsung GALAXY Z FLIP 5 512GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,920,000"
samsung GALAXY Z FLIP 5 256GB,AJ,Terdaftar,Produk Only,1,1720000,10,2026-07-07 17:48:29,S0002-I06-O0010,20260707-174824,2,6,"[0,1429][1200,1681]",c12a7d4e83c7,"samsung GALAXY Z FLIP 5 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,720,000"
samsung GALAXY Z FLIP 5 256GB,AJ,Terdaftar,Produk Only,1,1720000,11,2026-07-07 17:48:29,S0002-I07-O0011,20260707-174824,2,7,"[0,1681][1200,1929]",c12a7d4e83c7,"samsung GALAXY Z FLIP 5 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,720,000"
samsung GALAXY Z FLIP 5 256GB,AJ,Terdaftar,Produk Only,1,1720000,12,2026-07-07 17:48:32,S0003-I04-O0012,20260707-174824,3,4,"[0,897][1200,1149]",c12a7d4e83c7,"samsung GALAXY Z FLIP 5 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,720,000"
samsung GALAXY Z FLIP 5 512GB,AJ,Terdaftar,Produk Only,1,1920000,13,2026-07-07 17:48:32,S0003-I05-O0013,20260707-174824,3,5,"[0,1149][1200,1400]",0c4cdf04d40a,"samsung GALAXY Z FLIP 5 512GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,920,000"
samsung GALAXY Z FLIP 5 256GB,AJ,Terdaftar,Produk Only,1,1720000,14,2026-07-07 17:48:32,S0003-I06-O0014,20260707-174824,3,6,"[0,1400][1200,1651]",c12a7d4e83c7,"samsung GALAXY Z FLIP 5 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,720,000"
samsung GALAXY Z FLIP 4 256GB,AJ,Terdaftar,Produk Only,1,950000,15,2026-07-07 17:48:32,S0003-I07-O0015,20260707-174824,3,7,"[0,1651][1200,1902]",6f28410af101,"samsung GALAXY Z FLIP 4 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 950,000"
samsung GALAXY Z FLIP 4 256GB,AJ,Terdaftar,Produk Only,1,950000,16,2026-07-07 17:48:35,S0004-I04-O0016,20260707-174824,4,4,"[0,868][1200,1119]",6f28410af101,"samsung GALAXY Z FLIP 4 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 950,000"
samsung GALAXY Z FLIP 5 256GB,AG,Terdaftar,Produk Only,1,3660000,17,2026-07-07 17:48:35,S0004-I05-O0017,20260707-174824,4,5,"[0,1119][1200,1370]",8d5ff27f23c5,"samsung GALAXY Z FLIP 5 256GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 3,660,000"
samsung GALAXY Z FLIP 3 256GB,AJ,Terdaftar,Produk Only,1,970000,18,2026-07-07 17:48:35,S0004-I06-O0018,20260707-174824,4,6,"[0,1370][1200,1621]",07318dbdf5d7,"samsung GALAXY Z FLIP 3 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 970,000"
samsung GALAXY Z FLIP 3 256GB,AJ,Terdaftar,Produk Only,1,970000,19,2026-07-07 17:48:35,S0004-I07-O0019,20260707-174824,4,7,"[0,1621][1200,1872]",07318dbdf5d7,"samsung GALAXY Z FLIP 3 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 970,000"
samsung GALAXY TAB S10 PLUS 256GB,AE,Terdaftar,Full Set,1,8390000,20,2026-07-07 17:48:39,S0005-I04-O0020,20260707-174824,5,4,"[0,828][1200,1079]",c8aebbda35e9,"samsung GALAXY TAB S10 PLUS 256GB AE (Terdaftar) Fullset Stok : 1 Harga Lelang IDR 8,390,000"
samsung GALAXY TAB S3 10 INCH 32GB,AJ,Terdaftar,Produk Only,1,660000,21,2026-07-07 17:48:39,S0005-I05-O0021,20260707-174824,5,5,"[0,1079][1200,1330]",89ec2f1218e4,"samsung GALAXY TAB S3 10 INCH 32GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 660,000"
samsung GALAXY TAB S6 128GB,AG,Terdaftar,Produk Only,1,1640000,22,2026-07-07 17:48:39,S0005-I06-O0022,20260707-174824,5,6,"[0,1330][1200,1581]",7e37d3600782,"samsung GALAXY TAB S6 128GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,640,000"
samsung GALAXY TAB A11 64GB,AF,Terdaftar,Produk Only,1,1310000,23,2026-07-07 17:48:39,S0005-I07-O0023,20260707-174824,5,7,"[0,1581][1200,1832]",86e5a5e3f2de,"samsung GALAXY TAB A11 64GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,310,000"
samsung GALAXY TAB A9 LTE 64GB,AF,Terdaftar,Produk Only,1,930000,24,2026-07-07 17:48:39,S0005-I08-O0024,20260707-174824,5,8,"[0,1832][1200,1929]",26b4192932d0,"samsung GALAXY TAB A9 LTE 64GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 930,000"
samsung GALAXY S9 PLUS 64GB,AG,Terdaftar,Produk Only,1,750000,25,2026-07-07 17:48:42,S0006-I05-O0025,20260707-174824,6,5,"[0,1051][1200,1302]",1ee81eee09f0,"samsung GALAXY S9 PLUS 64GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 750,000"
